decimalLongitude	decimalLatitude	year	species	pa
-128.5	16.5	2	sp1	1
-2.58417	57.7014	2	sp1	1
-43.38	45.7	2	sp1	1
-122.034302	36.841435	2	sp1	1
36.801	-26.355	2	sp1	1
-88.5	-8.5	2	sp1	1
3.5	-1.5	2	sp1	1
-89.25	26.51	2	sp1	1
-90.75	26.28	2	sp1	1
22.446	-37.446	2	sp1	1
-77.2333	8.5333	2	sp1	1
-5.109896	51.774929	2	sp1	1
-143.5	32.5	2	sp1	1
35.381	-20.823	2	sp1	1
-71.91	39.65	2	sp1	1
24.333	-39.785	2	sp1	1
3.92588	43.53354	2	sp1	1
-91.5	-33.5	2	sp1	1
13.569	-26.014	2	sp1	1
31.651	-32.239	2	sp1	1
168.5	31.5	2	sp1	1
41.664	-35.978	2	sp1	1
-6.47	36.970001	2	sp1	1
17.259	-36.884	2	sp1	1
26.719	-34.703	2	sp1	1
-6.5	-4.5	2	sp1	1
32.733	-27.366	2	sp1	1
27.978	-35.663	2	sp1	1
-63.920533	11.175155	2	sp1	1
-1.19082	45.75932	2	sp1	1
138.61806	-35.54842	2	sp1	1
-3.95278	54.6558	2	sp1	1
-74.9658	38.8332	2	sp1	1
35.51287	-19.20927	2	sp1	1
5.19932	43.3538	2	sp1	1
6.585	42.99708	2	sp1	1
-46.98	41.16	2	sp1	1
-91.46	26.08	2	sp1	1
-48	15	2	sp1	1
-36.5	-20.5	2	sp1	1
129.5	8.5	2	sp1	1
148.5	12.5	2	sp1	1
35.283	-26.167	2	sp1	1
13.604	-30.297	2	sp1	1
35.087	-24.737	2	sp1	1
29.121	-33.671	2	sp1	1
27.536	-37.022	2	sp1	1
-45.4	43.78	2	sp1	1
-6.16889	50.8675	2	sp1	1
-43.85	45.93	2	sp1	1
-53.942871	5.758447	2	sp1	1
-9.52094	51.417675	2	sp1	1
-9.522125	51.424688	2	sp1	1
27.816	-37.318	2	sp1	1
33.196	-26.481	2	sp1	1
-4.098525	52.578293	2	sp1	1
1.26	6.13	2	sp1	1
7.5	-21.5	2	sp1	1
11.9673	-35.9929	2	sp1	1
34.1108	-25.6927	2	sp1	1
-1.20951	46.10681	2	sp1	1
-71.5216	41.375	2	sp1	1
28.215	-35.036	2	sp1	1
33.35	-27.295	2	sp1	1
-116.5	-5.5	2	sp1	1
33.40321	-25.32276	2	sp1	1
9.3875	-34.1652	2	sp1	1
-3.12222	47.60052	2	sp1	1
173.5	8.5	2	sp1	1
-42.36	43.33	2	sp1	1
-34.73	8.5	2	sp1	1
35.496	-21.072	2	sp1	1
13.894	-26.093	2	sp1	1
-6.82	55.21	2	sp1	1
-80.68398	30.099887	2	sp1	1
-4.651145	51.727272	2	sp1	1
-85.5	-11.5	2	sp1	1
-101.5	-9.5	2	sp1	1
32.034	-30.67	2	sp1	1
-2.2627	47.00893	2	sp1	1
-86.5	9.5	2	sp1	1
-71.14539	41.05956	2	sp1	1
